"country","taxRich","religiousLaw","freeElection","helpUnemp","armyTakesOver","civilRights","equalIncome","obeyRulers","genderEquality","importance"
"Estonia",7,2,10,10,4,10,8,1,8,10
"Estonia",10,1,10,10,10,10,10,1,10,1
"Estonia",6,10,10,9,1,10,8,10,10,10
"Estonia",10,10,10,10,2,10,10,10,10,10
"Estonia",9,2,9,10,1,9,7,2,10,9
"Estonia",10,9,9,10,10,9,10,10,10,10
"Estonia",4,7,9,8,5,6,9,7,9,8
"Estonia",8,2,9,8,2,8,9,2,10,10
"Estonia",8,7,8,5,7,8,8,9,9,8
"Estonia",7,5,8,8,1,7,7,1,8,10
"Estonia",6,2,10,8,2,9,4,1,9,8
"Estonia",8,6,5,8,9,9,9,4,9,8
"Estonia",2,2,9,8,5,9,9,4,10,10
"Estonia",8,6,8,6,8,10,10,7,10,10
"Estonia",7,3,9,8,6,10,8,2,10,8
"Estonia",1,3,5,1,1,6,5,1,5,8
"Estonia",2,1,10,5,2,9,2,1,10,9
"Estonia",4,4,4,4,5,4,4,4,9,4
"Estonia",5,4,5,10,1,8,10,4,10,6
"Estonia",5,3,8,8,1,5,3,1,9,9
"Estonia",7,1,10,6,2,10,2,3,10,10
"Estonia",3,5,5,7,3,5,5,6,5,5
"Estonia",5,3,4,5,3,5,5,4,6,5
"Estonia",8,1,8,10,6,9,8,1,10,10
"Estonia",7,2,9,8,5,8,7,4,7,10
"Estonia",3,2,10,2,1,10,2,3,9,9
"Estonia",7,3,7,10,10,10,10,3,10,10
"Estonia",9,2,8,10,7,5,7,5,10,8
"Estonia",9,1,10,10,5,10,9,4,10,10
"Estonia",2,2,10,10,2,10,2,5,10,10
"Estonia",9,1,10,9,4,10,7,1,10,9
"Estonia",4,4,8,4,1,9,4,1,6,8
"Estonia",7,1,8,8,1,8,8,1,8,10
"Estonia",4,1,8,8,2,7,6,1,9,7
"Estonia",3,4,10,10,1,10,6,6,10,10
"Estonia",10,1,10,10,1,10,10,10,10,10
"Estonia",6,2,7,8,3,6,9,5,9,8
"Estonia",7,1,10,10,2,10,10,1,10,10
"Estonia",8,1,10,10,1,10,6,8,5,7
"Estonia",5,4,10,10,4,10,8,8,10,8
"Estonia",10,1,10,10,1,10,10,1,10,10
"Estonia",10,5,8,9,5,9,10,3,5,5
"Estonia",7,3,9,9,1,9,8,5,10,10
"Estonia",9,3,9,9,5,8,8,4,9,10
